image,Category
36_10be6380-cbbb-4886-8b9e-ff56b1710576,0
50_10be6380-cbbb-4886-8b9e-ff56b1710576,0
72_10be6380-cbbb-4886-8b9e-ff56b1710576,0
108_10be6380-cbbb-4886-8b9e-ff56b1710576,0
144_10be6380-cbbb-4886-8b9e-ff56b1710576,0
180_10be6380-cbbb-4886-8b9e-ff56b1710576,0
216_10be6380-cbbb-4886-8b9e-ff56b1710576,0
252_10be6380-cbbb-4886-8b9e-ff56b1710576,0
288_10be6380-cbbb-4886-8b9e-ff56b1710576,0
324_10be6380-cbbb-4886-8b9e-ff56b1710576,0
36_f65a1633-9935-4984-a285-a60d30aa1707,0
50_f65a1633-9935-4984-a285-a60d30aa1707,0
72_f65a1633-9935-4984-a285-a60d30aa1707,0
108_f65a1633-9935-4984-a285-a60d30aa1707,0
144_f65a1633-9935-4984-a285-a60d30aa1707,0
180_f65a1633-9935-4984-a285-a60d30aa1707,0
216_f65a1633-9935-4984-a285-a60d30aa1707,0
252_f65a1633-9935-4984-a285-a60d30aa1707,0
288_f65a1633-9935-4984-a285-a60d30aa1707,0
324_f65a1633-9935-4984-a285-a60d30aa1707,0
144_baab0701-3fd4-4940-8b90-b9c42d95888f,1
180_baab0701-3fd4-4940-8b90-b9c42d95888f,1
36_63d36d2c-43a9-49ac-9504-028b4968c860,0
50_63d36d2c-43a9-49ac-9504-028b4968c860,0
72_63d36d2c-43a9-49ac-9504-028b4968c860,0
108_63d36d2c-43a9-49ac-9504-028b4968c860,0
144_63d36d2c-43a9-49ac-9504-028b4968c860,0
180_63d36d2c-43a9-49ac-9504-028b4968c860,0
216_63d36d2c-43a9-49ac-9504-028b4968c860,0
252_63d36d2c-43a9-49ac-9504-028b4968c860,0
288_63d36d2c-43a9-49ac-9504-028b4968c860,0
324_63d36d2c-43a9-49ac-9504-028b4968c860,0
144_4ab47131-c2ac-461f-b95c-ac19ce24edbd,1
180_4ab47131-c2ac-461f-b95c-ac19ce24edbd,1
144_95d5e689-c1d1-4ae8-a659-cc20c62a99f0,1
180_95d5e689-c1d1-4ae8-a659-cc20c62a99f0,1
144_be779f52-0bfa-4c01-a16f-b7f0bc92ed7c,1
180_be779f52-0bfa-4c01-a16f-b7f0bc92ed7c,1
144_b687c30d-cf15-445c-b3f6-5aca86584708,1
180_b687c30d-cf15-445c-b3f6-5aca86584708,1
144_3dcd4f1b-ce43-4a34-b1ed-076bb42963b1,1
180_3dcd4f1b-ce43-4a34-b1ed-076bb42963b1,1
144_157ac97a-396e-4f6c-94c6-72a4d06ccc5f,1
180_157ac97a-396e-4f6c-94c6-72a4d06ccc5f,1
144_511b6e13-acd7-4dd3-b1d0-c4aa10a514c7,1
180_511b6e13-acd7-4dd3-b1d0-c4aa10a514c7,1
144_8757be1e-b832-407a-8e95-62abae485b24,1
180_8757be1e-b832-407a-8e95-62abae485b24,1
144_6fb707b1-5c07-479f-8385-5404bf5747b0,1
180_6fb707b1-5c07-479f-8385-5404bf5747b0,1
144_79d7a014-21ff-40f1-9ac4-a69839390654,1
180_79d7a014-21ff-40f1-9ac4-a69839390654,1
144_6b2ff7ca-c5b3-415c-9481-7b14efc6d7ef,1
180_6b2ff7ca-c5b3-415c-9481-7b14efc6d7ef,1
144_eeb06e39-482b-443d-8cf6-b9b5c763df78,1
180_eeb06e39-482b-443d-8cf6-b9b5c763df78,1
144_5107dcb7-164f-4e10-bbff-822b39b76efc,1
180_5107dcb7-164f-4e10-bbff-822b39b76efc,1
144_1d4cdf2e-79a0-41e9-aabe-e437a190dfc4,1
180_1d4cdf2e-79a0-41e9-aabe-e437a190dfc4,1
144_bb3ae957-0f6d-4615-bfe5-24fbca50b459,1
180_bb3ae957-0f6d-4615-bfe5-24fbca50b459,1
144_4d8a4ce8-0f9c-4f21-8844-4cf0e5514bbf,1
180_4d8a4ce8-0f9c-4f21-8844-4cf0e5514bbf,1
144_30948737-0d0d-4b68-b9ab-50577e0fe026,1
180_30948737-0d0d-4b68-b9ab-50577e0fe026,1
144_65054b19-5c6a-4870-99a9-eef994721d3a,1
180_65054b19-5c6a-4870-99a9-eef994721d3a,1
144_ed0bee2f-05e0-4392-8357-19750cec577c,1
180_ed0bee2f-05e0-4392-8357-19750cec577c,1
144_9e74feb8-017d-4d53-8896-9ebda4327dd1,1
180_9e74feb8-017d-4d53-8896-9ebda4327dd1,1
144_90171428-f208-428a-b40e-f57ee3bea457,1
180_90171428-f208-428a-b40e-f57ee3bea457,1
144_587e5464-d70b-4279-8562-010279f6efbd,1
180_587e5464-d70b-4279-8562-010279f6efbd,1
144_c52f8cc8-afd7-441c-9f1f-18b6e16d79cf,1
180_c52f8cc8-afd7-441c-9f1f-18b6e16d79cf,1
144_5f742392-278d-461c-a848-08def2c28878,1
180_5f742392-278d-461c-a848-08def2c28878,1
144_c118ff18-f9f2-4617-bddb-dc4091fb8f5f,1
180_c118ff18-f9f2-4617-bddb-dc4091fb8f5f,1
144_4811fdf2-d7e8-475e-a840-45dda5282bf3,1
180_4811fdf2-d7e8-475e-a840-45dda5282bf3,1
144_e683144c-0465-43a2-86b1-3cf52599d5e0,1
180_e683144c-0465-43a2-86b1-3cf52599d5e0,1
144_612bdd3c-da43-4321-a76b-c73c614928d1,1
180_612bdd3c-da43-4321-a76b-c73c614928d1,1
144_71925778-a26e-483e-a07c-f3aaf740122a,1
180_71925778-a26e-483e-a07c-f3aaf740122a,1
144_04de27ff-0d36-4da3-a829-e93851d76981,1
180_04de27ff-0d36-4da3-a829-e93851d76981,1
144_52767904-4cdc-4821-ba68-8cd0c28f9023,1
180_52767904-4cdc-4821-ba68-8cd0c28f9023,1
144_580210c2-a8ed-4720-b71c-a77945968abc,1
180_580210c2-a8ed-4720-b71c-a77945968abc,1
144_ef1419e0-3a3a-458a-b3b2-7efddac50404,1
180_ef1419e0-3a3a-458a-b3b2-7efddac50404,1
144_d532e31c-10ce-4313-9a36-bd5e01230254,1
180_d532e31c-10ce-4313-9a36-bd5e01230254,1
144_2c4d72f1-71a6-4bf1-b5d9-8023c7bbec74,1
180_2c4d72f1-71a6-4bf1-b5d9-8023c7bbec74,1
144_cdb086a8-2bf8-4436-b1ef-96cdd801f247,1
180_cdb086a8-2bf8-4436-b1ef-96cdd801f247,1
144_5893e081-04f2-4e33-9851-bed5f0e4d333,1
180_5893e081-04f2-4e33-9851-bed5f0e4d333,1
144_16ec6e1f-5020-40b3-ba26-51c340d03ee7,1
180_16ec6e1f-5020-40b3-ba26-51c340d03ee7,1
144_9f38055f-4fe6-47fd-a6dd-c0743db4eccf,1
180_9f38055f-4fe6-47fd-a6dd-c0743db4eccf,1
144_f5869ba8-6253-426b-93f3-82af59a86144,1
180_f5869ba8-6253-426b-93f3-82af59a86144,1
